Fecha,Hora,period eating,period other,period resting,period rumination,period eating_count,period other_count,period resting_count,period rumination_count
2024-01-13,18,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2024-01-13,19,0.279,0.0,0.433,0.289,2.0,0.0,2.0,2.0
2024-01-13,20,0.393,0.0,0.069,0.538,1.0,0.0,1.0,1.0
2024-01-13,21,0.0,0.0,0.528,0.472,0.0,0.0,2.0,1.0
2024-01-13,22,0.22,0.0,0.151,0.63,1.0,0.0,1.0,1.0
2024-01-13,23,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
2024-01-14,0,0.118,0.0,0.0,0.882,1.0,0.0,0.0,1.0
2024-01-14,1,0.387,0.0,0.315,0.298,1.0,0.0,1.0,1.0
2024-01-14,2,0.046,0.0,0.167,0.787,1.0,0.0,2.0,1.0
2024-01-14,3,0.105,0.0,0.423,0.472,1.0,0.0,2.0,1.0
2024-01-14,4,0.249,0.0,0.079,0.672,1.0,0.0,1.0,1.0
2024-01-14,5,0.118,0.039,0.531,0.311,1.0,1.0,2.0,2.0
2024-01-14,6,0.079,0.0,0.374,0.548,1.0,0.0,4.0,3.0
2024-01-14,7,0.682,0.0,0.0,0.318,1.0,0.0,0.0,1.0
2024-01-14,8,0.852,0.0,0.148,0.0,1.0,0.0,1.0,0.0
2024-01-14,9,0.118,0.0,0.443,0.439,1.0,0.0,2.0,2.0
2024-01-14,10,0.0,0.0,0.416,0.584,0.0,0.0,1.0,1.0
2024-01-14,11,0.708,0.0,0.292,0.0,2.0,0.0,1.0,0.0
2024-01-14,12,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2024-01-14,13,0.692,0.079,0.118,0.111,2.0,1.0,1.0,1.0
2024-01-14,14,0.118,0.0,0.275,0.607,1.0,0.0,1.0,2.0
2024-01-14,15,0.695,0.079,0.0,0.226,1.0,1.0,0.0,1.0
2024-01-14,16,0.446,0.0,0.082,0.472,2.0,0.0,2.0,1.0
2024-01-14,17,0.925,0.0,0.075,0.0,1.0,0.0,1.0,0.0
2024-01-14,18,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2024-01-14,19,0.672,0.039,0.118,0.17,5.0,1.0,2.0,4.0
2024-01-14,20,0.0,0.0,0.393,0.607,0.0,0.0,1.0,2.0
2024-01-14,21,0.321,0.0,0.079,0.6,1.0,0.0,1.0,1.0
